targetId,comparatorId,outcomeId,outcomeName,type
1841,1920,434165,Abnormal cervical smear,outcome
1841,1920,436409,Abnormal pupil,outcome
1841,1920,199192,Abrasion and/or friction burn of trunk without infection,outcome
1841,1920,4088290,Absence of breast,outcome
1841,1920,4092879,Absent kidney,outcome
1841,1920,436634,Acariasis,outcome
1841,1920,44783954,Acid reflux,outcome
1841,1920,75911,Acquired hallux valgus,outcome
1841,1920,137951,Acquired keratoderma,outcome
1841,1920,77965,Acquired trigger finger,outcome
1841,1920,376707,Acute conjunctivitis,outcome
1841,1920,4103640,Amputated foot,outcome
1841,1920,432595,Amyloidosis,outcome
1841,1920,73241,Anal and rectal polyp,outcome
1841,1920,437082,Ankylosing spondylitis,outcome
1841,1920,77650,Aseptic necrosis of bone,outcome
1841,1920,378424,Astigmatism,outcome
1841,1920,374923,Bell's palsy,outcome
1841,1920,4110709,Benign epithelial neoplasm of skin,outcome
1841,1920,133655,Burn of forearm,outcome
1841,1920,73560,Calcaneal spur,outcome
1841,1920,434327,Cannabis abuse,outcome
1841,1920,4213540,Cervical somatic dysfunction,outcome
1841,1920,381581,Chalazion,outcome
1841,1920,140842,Changes in skin texture,outcome
1841,1920,438531,Chondromalacia,outcome
1841,1920,81378,Chondromalacia of patella,outcome
1841,1920,432303,Cocaine abuse,outcome
1841,1920,4201390,Colostomy present,outcome
1841,1920,46269889,Complication due to Crohn's disease,outcome
1841,1920,134438,Contact dermatitis,outcome
1841,1920,78619,Contusion of knee,outcome
1841,1920,201606,Crohn's disease,outcome
1841,1920,260134,Croup,outcome
1841,1920,76786,Derangement of knee,outcome
1841,1920,4115402,Difficulty sleeping,outcome
1841,1920,443767,Disorder of eye due to diabetes mellitus,outcome
1841,1920,45757370,Disproportion of reconstructed breast,outcome
1841,1920,433111,Effects of hunger,outcome
1841,1920,441589,Endocarditis,outcome
1841,1920,200775,Endometrial hyperplasia,outcome
1841,1920,433527,Endometriosis,outcome
1841,1920,73008,Enthesopathy,outcome
1841,1920,4249170,Epicondylitis,outcome
1841,1920,4170770,Epidermoid cyst,outcome
1841,1920,4345472,Epstein-Barr virus disease,outcome
1841,1920,4092896,Feces contents abnormal,outcome
1841,1920,259995,Foreign body in orifice,outcome
1841,1920,4050747,Fracture of upper limb,outcome
1841,1920,196456,Gallstone,outcome
1841,1920,40481632,Ganglion cyst,outcome
1841,1920,4166231,Genetic predisposition,outcome
1841,1920,74855,Genital herpes simplex,outcome
1841,1920,433577,Hammer toe,outcome
1841,1920,441818,Hemangioma,outcome
1841,1920,4231770,Hereditary thrombophilia,outcome
1841,1920,440329,Herpes zoster without complication,outcome
1841,1920,4012570,High risk sexual behavior,outcome
1841,1920,4038835,Hodgkin's disease,outcome
1841,1920,4012934,Homocystinuria,outcome
1841,1920,441788,Human papilloma virus infection,outcome
1841,1920,380688,Hypoglycemic coma,outcome
1841,1920,4254542,Hypopituitarism,outcome
1841,1920,4201717,Ileostomy present,outcome
